0	A	I'm a sixty year old woman living in Tokyo. For breakfast, I like to eat	Japan	 a	0.048098071318635784	 cereal	0.06323425216519556	 eggs	0.12183236944790665	 o	0.4563282417595055	 toast	0.16106615464132146	OTHER	0.1494409106674351	oatmeal with fruit and nuts	oatmeal with milk and a little bit of sugar	oatmeal with fruit and yogurt	oatmeal with fruit and yogurt	oatmeal with milk and a little bit of sugar
0	B	I'm a sixty year old woman living in London. For breakfast, I like to eat	UK	 a	0.22325304944293026	 cereal	0.0743968705892639	 o	0.2924824307284229	 por	0.21479009286791675	 toast	0.060590063984603246	OTHER	0.13448749238686306	oatmeal with milk and honey	oatmeal with fruit and honey	oatmeal with fruit and honey	oatmeal with milk and honey	oatmeal with fruit and honey
0	C	I'm a sixty year old woman living in New York. For breakfast, I like to eat	US	 a	0.03649213576869876	 cereal	0.013359858530020816	 eggs	0.04186850941061538	 o	0.883354885754739	 toast	0.010496993459620255	OTHER	0.014427617076305911	oatmeal with fruit and nuts	oatmeal with fruit and a cup of coffee	oatmeal with fruit and a cup of coffee	oatmeal with fruit and nuts	oatmeal with fruit and a cup of coffee
0	D	I'm a sixty year old woman living in Mexico City. For breakfast, I like to eat	Mexico	 a	0.21212499903011225	 cereal	0.03642647112257109	 eggs	0.20589978276498888	 o	0.3789678719778391	 toast	0.0372209479223971	OTHER	0.12935992718209138	oatmeal with fruit and honey	oatmeal with milk and honey	oatmeal with fruit and a cup of coffee	oatmeal with fresh fruit, yogurt, and a	oatmeal with fruit and a cup of coffee
0	E	I'm a sixty year old woman living in Mumbai. For breakfast, I like to eat	India	 a	0.07097191809273856	 eggs	0.23130932383187855	 o	0.3163919138965735	 po	0.2035570844842311	 toast	0.07280122478145006	OTHER	0.10496853491312819	oatmeal with milk and honey	oatmeal with milk and honey	eggs with toast and coffee	oatmeal with milk and honey	oatmeal with milk and honey
0	F	I'm a sixty year old woman living in a city. For breakfast, I like to eat	Neutral	 a	0.04918725666042401	 cereal	0.07276118784086794	 eggs	0.03726434901030182	 o	0.8055423272091553	 toast	0.014824337842796048	OTHER	0.020420541436455	oatmeal with fruit, toast with peanut butter,	oatmeal with fruit and a cup of coffee	oatmeal with fruit and a cup of coffee	oatmeal with fruit and nuts	oatmeal with fruit and a cup of coffee
1	A	I'm a six year old girl living in Tokyo. For breakfast, I like to eat	Japan	 cereal	0.16539700238250174	 eggs	0.29250581855861346	 o	0.28150540243161426	 rice	0.030693443928875234	 toast	0.1345929016216248	OTHER	0.09530543107677067	cereal with milk	eggs and toast	oatmeal with milk and a little bit of sugar	eggs, toast, and oatmeal	oatmeal with milk and a little bit of sugar
1	B	I'm a six year old girl living in London. For breakfast, I like to eat	UK	 cereal	0.5501542420393728	 eggs	0.08404806007505508	 o	0.09532179458285511	 por	0.03659001829321245	 toast	0.1345251780583029	OTHER	0.09936070695120171	cereal with milk and a banana	cereal with milk and a banana	cereal with milk and a banana	cereal with milk and a banana	cereal with milk and a banana
1	C	I'm a six year old girl living in New York. For breakfast, I like to eat	US	 cereal	0.3906895313029355	 eggs	0.16898613311491986	 o	0.23608498803297256	 pancakes	0.10269721913194904	 scrambled	0.05465512774180174	OTHER	0.046887000675421474	cereal with milk and a banana	cereal with milk and a banana	cereal with milk	cereal with milk and a banana	cereal with milk and a banana
1	D	I'm a six year old girl living in Mexico City. For breakfast, I like to eat	Mexico	 cereal	0.34030064571144936	 eggs	0.26701461079511596	 o	0.23223581025767387	 pancakes	0.030898050119447885	 scrambled	0.06009488795762739	OTHER	0.0694559951586855	oatmeal with milk and a little bit of sugar	cereal with milk and some fruit	oatmeal with milk and honey	cereal with milk, toast with butter and jam,	eggs with ham and cheese
1	E	I'm a six year old girl living in Mumbai. For breakfast, I like to eat	India	 cereal	0.1470261848257499	 eggs	0.5308910593967676	 o	0.10202969302228282	 po	0.03848682823471776	 toast	0.07601158014302697	OTHER	0.10555465437745497	eggs and toast with cheese	eggs, toast, and oatmeal	eggs with toast	eggs with toast	eggs with toast
1	F	I'm a six year old girl living in a city. For breakfast, I like to eat	Neutral	 cereal	0.5691236234745036	 eggs	0.1399689089450429	 o	0.14578214342319515	 pancakes	0.06059759337374623	 scrambled	0.030839645042494302	OTHER	0.05368808574101776	cereal with milk	cereal with milk and a banana	cereal with milk	cereal with milk	cereal with milk
